nen,nen,nen,nen
neng,neng,neng,neng
ni,ni,ni,ni
nian,nyan,nien,nian
niang,nyang,niang,niang
niao,nyau,niao,niau
nie,nye,nieh,nie
nin,nin,nin,nin
ning,ning,ning,ning
niu,nyou,niu,niou
nong,nung,nung,nong
nou,nou,nou,nou
nu,nu,nu,nu
nü,nyu,nü,niu
nuan,nwan,nuan,nuan
nue,nywe,nüeh,niue
nüe,nywe,nüeh,nuen
nuo,nwo,no,nuo
ou,ou,ou,ou
pa,pa,p'a,pa
pai,pai,p'ai,pai
pan,pan,p'an,pan
pang,pang,p'ang,pang
pao,pau,p'ao,pau
pei,pei,p'ei,pei
pen,pen,p'en,pen
peng,peng,p'eng,peng
pi,pi,p'i,pi
pia,pya,p'ia,pia
pian,pyan,p'ien,pian
piao,pyau,p'iao,piau
pie,pye,p'ieh,pie
pin,pin,p'in,pin
ping,ping,p'ing,ping
po,pwo,p'o,po
pou,pou,p'ou,pou
pu,pu,p'u,pu
qi,chi,ch'i,chi
qia,chya,ch'ia,chia
qian,chyan,ch'ien,chian
qiang,chyang,ch'iang,chiang
qiao,chyau,ch'iao,chiau
qie,chye,ch'ieh,chie
qin,chin,ch'in,chin
qing,ching,ch'ing,ching
qiong,chyung,ch'iung,chiong
qiu,chyou,ch'iu,chiou
qu,chyu,ch'ü,chiu
quan,chywan,ch'üan,chiuan
que,chywe,ch'üeh,chiue
qun,chyun,ch'ün,chiun
ran,ran,jan,ran
rang,rang,jang,rang
rao,rau,jao,rau
re,re,je,re
ren,ren,jen,ren
reng,reng,jeng,reng
ri,r,jih,ry
rong,rung,jung,rong
rou,rou,jou,rou
ru,ru,ju,ru
rua,rwa,jua,rua
ruan,rwan,juan,ruan
rui,rwei,jui,ruei
run,rwun,jun,ruen
ruo,rwo,jo,ruo
sa,sa,sa,sa
sai,sai,sai,sai
san,san,san,san
sang,sang,sang,sang
sao,sau,sao,sau
se,se,se,se
sen,sen,sen,sen
seng,seng,seng,seng
sha,sha,sha,sha
shai,shai,shai,shai
shan,shan,shan,shan
shang,shang,shang,shang
shao,shau,shao,shau
she,she,she,she
shen,shen,shen,shen
sheng,sheng,sheng,sheng
shi,shr,shih,shy
shou,shou,shou,shou
shu,shu,shu,shu
shua,shwa,shua,shua
shuai,shwai,shuai,shuai
shuan,shwan,shuan,shuan
shuang,shwang,shuang,shuang
shui,shwei,shui,shuei
shun,shwun,shun,shuen
shuo,shwo,shuo,shuo
si,sz,ssu,sy
song,sung,sung,song
sou,sou,sou,sou
su,su,su,su
suan,swan,suan,suan
sui,swei,sui,suei
sun,swun,sun,suen
suo,swo,so,suo
ta,ta,t'a,ta
tai,tai,t'ai,tai
tan,tan,t'an,tan
tang,tang,t'ang,tang
tao,tau,t'ao,tau
te,te,t'e,te
teng,teng,t'eng,teng
ti,ti,t'i,ti
tian,tyan,t'ien,tian
tiao,tyau,t'iao,tiau
tie,tye,t'ieh,tie
ting,ting,t'ing,ting
tong,tung,t'ung,tong
tou,tou,t'ou,tou
tu,tu,t'u,tu
tuan,twan,t'uan,tuan
tui,twei,t'ui,tuei
tun,twun,t'un,tuen
tuo,two,t'o,tuo
wa,wa,wa,ua
wai,wai,wai,uai
wan,wan,wan,uan
wang,wang,wang,uang
wei,wei,wei,uei
wen,wen,wen,uen
weng,weng,weng,ueng
wo,wo,wo,uo
wu,wu,wu,u
xi,syi,hsi,shi
xia,sya,hsia,shia
xian,syan,hsien,shian
xiang,syang,hsiang,shiang
xiao,syau,hsiao,shiau
xie,sye,hsieh,shie
xin,syin,hsin,shin
xing,sying,hsing,shing
xiong,syung,hsiung,shiong
xiu,syou,hsiu,shiou
xu,syu,hsü,shiu
xuan,sywan,hsüan,shiuan
xue,sywe,hsüeh,shiue
xun,syun,hsün,shiun
ya,ya,ya,ia
yai,yai,yai,iai
yan,yan,yen,ian
yang,yang,yang,iang
yao,yau,yao,iau
ye,ye,yeh,ie
yi,yi,i,i
yin,yin,yin,in
ying,ying,ying,ing
yo,yo,yo,io
yong,yung,yung,iong
you,you,yu,iou
yu,yu,yü,iu
yuan,ywan,yüan,iun
yue,ywe,yüeh,iue
yun,yun,yün,iun
za,dza,tsa,tza
zai,dzai,tsai,tzai
zan,dzan,tsan,tzan
zang,dzang,tsang,tzang
zao,dzau,tsao,tzau
ze,dze,tse,tze
zei,dzei,tsei,tzei
zen,dzen,tsen,tzen
zeng,dzeng,tseng,tzeng
zha,ja,cha,ja
zhai,jai,chai,jai
zhan,jan,chan,jan
zhang,jang,chang,jang
zhao,jau,chao,jau
zhe,je,che,je
zhei,jei,chei,jei
zhen,jen,chen,jen
zheng,jeng,cheng,jeng
zhi,jr,chih,jy
zhong,jung,chung,jong
zhou,jou,chou,jou
zhu,ju,chu,ju
zhua,jwa,chua,jua
zhuai,jwai,chuai,juai
zhuan,jwan,chuan,juan
zhuang,jwang,chuang,juang
zhui,jwei,chui,juei
zhun,jwun,chun,juen
zhuo,jwo,cho,juo
zi,dz,tzu,tzy
zong,dzung,tsung,tzong
zou,dzou,tsou,tzou
zu,dzu,tsu,tzu
zuan,dzwan,tsuan,tzuan
zui,dzwei,tsui,tzuei
zun,dzwun,tsun,tzuen
zuo,dzwo,tso,tzuo
